track,course,duration
Associate Data Engineer in SQL,Introduction to Relational Databases in SQL,4 hours
Associate Data Engineer in SQL,Understanding Data Visualization,2 hours
Associate Data Engineer in SQL,Introduction to SQL,2 hours
Associate Data Engineer in SQL,Data Warehousing Concepts,4 hours
Associate Data Engineer in SQL,Database Design,4 hours
Associate Data Engineer in SQL,Intermediate SQL,4 hours
Associate Data Engineer in SQL,Understanding Data Engineering,2 hours
Associate Data Engineer in SQL,Introduction to Snowflake SQL,3 hours
Associate Data Engineer in SQL,Joining Data in SQL,4 hours
Associate Data Scientist  in Python,Introduction to Functions in Python,3 hours
Associate Data Scientist  in Python,Introduction to Python,4 hours
Associate Data Scientist  in Python,Intermediate Python,4 hours
Associate Data Scientist  in Python,Hypothesis Testing in Python,4 hours
Associate Data Scientist  in Python,Introduction to Importing Data in Python,3 hours
Associate Data Scientist  in Python,Data Manipulation with pandas,4 hours
Associate Data Scientist  in Python,Python Toolbox,4 hours
Associate Data Scientist  in Python,Unsupervised Learning in Python,4 hours
Associate Data Scientist  in Python,Introduction to Data Visualization with Seaborn,4 hours
Associate Data Scientist  in Python,Introduction to Data Visualization with Matplotlib,4 hours
Associate Data Scientist  in Python,Writing Functions in Python,4 hours
Associate Data Scientist  in Python,Working with Dates and Times in Python,4 hours
Associate Data Scientist  in Python,Data Communication Concepts,3 hours
Associate Data Scientist  in Python,Working with Categorical Data in Python,4 hours
Associate Data Scientist  in Python,Sampling in Python,4 hours
Associate Data Scientist  in Python,Introduction to Statistics in Python,4 hours
Associate Data Scientist  in Python,Exploratory Data Analysis in Python,4 hours
Associate Data Scientist  in Python,Experimental Design in Python,4 hours
Associate Data Scientist  in Python,Machine Learning with Tree-Based Models in Python,5 hours
Associate Data Scientist  in Python,Joining Data with pandas,4 hours
Associate Data Scientist  in Python,Supervised Learning with scikit-learn,4 hours
Associate Data Scientist  in Python,Introduction to Regression with statsmodels in Python,4 hours
Associate Data Scientist  in Python,Cleaning Data in Python,4 hours
