track,skill
Data Engineer Associate Certification,"Interpret a database schema and explain database design concepts (such as normalization, design, schemas, data storage options)"
Data Engineer Associate Certification,Use data visualization tools to demonstrate characteristics of data
Data Engineer Associate Certification,Perform standard cleaning tasks to prepare data for analysis
Data Engineer Associate Certification,Assess data quality and perform validation tasks
Data Engineer Associate Certification,Read and analyze data visualizations to represent the relationships between features
Data Engineer Associate Certification,Perform cleaning tasks to prepare data for analysis
Data Engineer Associate Certification,Calculate metrics to effectively report characteristics of data and relationships between features
Data Engineer Associate Certification,"Perform data extraction, joining and aggregation tasks"
Data Engineer Associate Certification,Identify different cloud tools that can be used for storing data and creating and maintaining data pipelines
Data Engineer Associate Certification,"Perform standard data extraction, joining and aggregation tasks"
Data Scientist Associate Certification,Apply sampling methods to data
Data Scientist Associate Certification,Use suitable methods to assess the performance of a model
Data Scientist Associate Certification,"Use common programming constructs to write repeatable production quality code for analysis (i.e., functions, control flow, loops and iterations)"
Data Scientist Associate Certification,Perform standard cleaning tasks to prepare data for analysis
Data Scientist Associate Certification,Implement approaches for unsupervised learning problems
Data Scientist Associate Certification,"Describe statistical concepts that underpin hypothesis testing and experimentation (i.e., statistical distributions, power analysis, parameter estimation and confidence intervals)"
Data Scientist Associate Certification,Prepare data for modeling by implementing relevant transformations
Data Scientist Associate Certification,"Perform standard data import, joining, and aggregation tasks"
Data Scientist Associate Certification,Assess data quality and perform validation tasks
Data Scientist Associate Certification,Create data visualizations in Python or R to demonstrate the characteristics of data
Data Scientist Associate Certification,Implement standard modeling approaches for supervised learning problems
Data Scientist Associate Certification,Calculate metrics to effectively report characteristics of data and relationships between features
Data Scientist Associate Certification,Create data visualizations in Python or R to represent the relationships between features
Data Scientist Associate Certification,Implement methods for performing statistical tests
Data Scientist Associate Certification,"Perform standard data extraction, joining and aggregation tasks"
